Route Name,Route Filename
into town,routes/1.gpx
coast ,routes/2.gpx
porty,routes/3.gpx
coffeeee,routes/4.gpx
Not the boundary ride,routes/5.gpx
broxburn loop,routes/6.gpx
West Lothian Border ,routes/7.gpx
Le Grand Grav,routes/8.gpx
Fannies of the Foyle 🤩,routes/9.gpx
4 houses,routes/10.gpx
Gravellin’ ,routes/11.gpx
Fife Route,routes/12.gpx
Big lothian loop,routes/13.gpx
pentlands half,routes/14.gpx
bigger pentlands,routes/15.gpx
Rannoch Moor gravel,routes/16.gpx
big lothian loop,routes/17.gpx
Glen tilt,routes/18.gpx
caldercruix loop,routes/19.gpx
Preemo Gravelfoyle. MEGA loop to Loch Lomond🙌 ,routes/20.gpx
west lothian loop,routes/21.gpx
bridge loop,routes/22.gpx
Fife pilgrims way part 2!,routes/23.gpx
Fife pilgrims way part 1!,routes/24.gpx
Carron Valley Loop,routes/25.gpx
Aberfoyle,routes/26.gpx
west coast,routes/27.gpx
kingscavil route,routes/28.gpx
Blackwood Road-Spine Road-Extension Spine Road,routes/29.gpx
Blackwood Road-Spine Road-Extension Spine Road,routes/30.gpx
"beecraigs, linlithgow, blackness loop",routes/31.gpx
Badgerfoyle to Callander,routes/32.gpx
duntarvie,routes/33.gpx
Hillend backroads,routes/34.gpx
Pentlands Explorer,routes/35.gpx
C19-B9080-A71,routes/36.gpx
C19-Union Canal Towpath-A904,routes/37.gpx
Boness loop,routes/38.gpx
Union Canal Towpath-Ferry Road Path-Bullyeon Road,routes/39.gpx
Union Canal Towpath-A803-C19,routes/40.gpx
Big loop,routes/41.gpx
Cockleroy,routes/42.gpx
Tiny coast commute loop,routes/43.gpx
bigger coast and beecraigs loop,routes/44.gpx
beecraigs and the loch,routes/45.gpx
Many squiggles,routes/46.gpx
West quick route,routes/47.gpx
Queensferry quick loop,routes/48.gpx
beecraigs and broxburn,routes/49.gpx
beecraigs through the woods,routes/50.gpx
beecraigs longer,routes/51.gpx
home 1,routes/52.gpx
Afternoon Walk,routes/53.gpx
Beecraigs,routes/54.gpx
pentlands from winchy,routes/55.gpx
Four reservoir loop from winchy,routes/56.gpx
LOTHIAN LOOP,routes/57.gpx
BATHGATE LOOP,routes/58.gpx
BRIDGE LOOP,routes/59.gpx
FIFE LOOP,routes/60.gpx
